,Date,external_power
195,"Date:""2026-05-20T19:27:17Z""",0.43
196,"Date:""2026-05-20T19:29:27Z""",0.45
197,"Date:""2026-05-20T19:42:54Z""",0.31
198,"Date:""2026-05-20T19:47:22Z""",0.43
199,"Date:""2026-05-20T20:01:12Z""",0.33
200,"Date:""2026-05-20T20:21:12Z""",0.44
201,"Date:""2026-05-20T20:24:16Z""",0.41
202,"Date:""2026-05-20T20:40:02Z""",0.44
203,"Date:""2026-05-20T20:40:52Z""",0.4
204,"Date:""2026-05-20T20:41:11Z""",0.43
205,"Date:""2026-05-20T20:41:18Z""",0.42
206,"Date:""2026-05-20T21:14:27Z""",0.35
207,"Date:""2026-05-20T22:42:33Z""",0.26
208,"Date:""2026-05-20T22:42:39Z""",0.26
209,"Date:""2026-05-20T22:44:10Z""",0.26
210,"Date:""2026-05-20T22:45:09Z""",0.26
211,"Date:""2026-05-20T22:47:14Z""",0.26
212,"Date:""2026-05-20T22:49:31Z""",0.26
213,"Date:""2026-05-20T22:50:08Z""",0.26
214,"Date:""2026-05-20T22:50:14Z""",0.26
215,"Date:""2026-05-20T22:55:40Z""",0.26
216,"Date:""2026-05-20T22:58:07Z""",0.26
217,"Date:""2026-05-20T23:00:39Z""",0.26
218,"Date:""2026-05-20T23:01:26Z""",0.26
219,"Date:""2026-05-20T23:01:36Z""",0.26
220,"Date:""2026-05-20T23:04:34Z""",0.26
221,"Date:""2026-05-20T23:09:14Z""",0.69
222,"Date:""2026-05-21T10:54:55Z""",0.41
223,"Date:""2026-05-21T10:58:12Z""",0.47
224,"Date:""2026-05-21T10:58:22Z""",0.44
225,"Date:""2026-05-21T11:00:12Z""",0.47
226,"Date:""2026-05-21T11:04:39Z""",0.97
227,"Date:""2026-05-21T11:06:27Z""",0.4
228,"Date:""2026-05-21T11:06:50Z""",0.46
229,"Date:""2026-05-21T11:09:19Z""",0.36
230,"Date:""2026-05-21T11:09:24Z""",0.65
231,"Date:""2026-05-21T11:11:22Z""",0.47
232,"Date:""2026-05-21T11:11:43Z""",0.41
233,"Date:""2026-05-21T13:45:22Z""",0.6
234,"Date:""2026-05-21T13:59:40Z""",0.66
235,"Date:""2026-05-21T14:00:33Z""",0.76
236,"Date:""2026-05-21T14:01:00Z""",0.87
237,"Date:""2026-05-21T14:01:06Z""",0.53
238,"Date:""2026-05-21T14:18:40Z""",0.44
239,"Date:""2026-05-21T14:35:20Z""",0.44
240,"Date:""2026-05-21T14:39:33Z""",0.44
241,"Date:""2026-05-21T16:08:19Z""",0.44
242,"Date:""2026-05-21T16:08:40Z""",0.76
243,"Date:""2026-05-21T16:48:38Z""",1.53
244,"Date:""2026-05-21T16:49:08Z""",1.21
245,"Date:""2026-05-21T17:21:28Z""",1.15
246,"Date:""2026-05-21T17:21:32Z""",0.92
247,"Date:""2026-05-21T17:24:40Z""",0.84
248,"Date:""2026-05-21T17:25:24Z""",0.43
249,"Date:""2026-05-21T17:29:03Z""",0.38
250,"Date:""2026-05-21T17:32:35Z""",0.7
251,"Date:""2026-05-21T17:34:13Z""",0.74
252,"Date:""2026-05-21T17:34:18Z""",0.57
253,"Date:""2026-05-21T17:34:34Z""",0.94
254,"Date:""2026-05-21T17:38:21Z""",0.39
255,"Date:""2026-05-21T17:38:27Z""",0.89
256,"Date:""2026-05-21T17:38:31Z""",0.68
257,"Date:""2026-05-21T18:06:02Z""",0.34
258,"Date:""2026-05-21T18:06:22Z""",0.41
259,"Date:""2026-05-21T18:23:37Z""",0.45
260,"Date:""2026-05-21T18:24:09Z""",0.42
261,"Date:""2026-05-22T15:02:54Z""",0.55
262,"Date:""2026-05-22T15:03:39Z""",0.93
263,"Date:""2026-05-22T15:10:36Z""",0.53
264,"Date:""2026-05-22T15:13:58Z""",0.53
265,"Date:""2026-05-22T15:22:23Z""",0.49
266,"Date:""2026-05-22T15:29:15Z""",0.52
267,"Date:""2026-05-22T15:32:20Z""",0.51
268,"Date:""2026-05-22T15:32:26Z""",0.51
269,"Date:""2026-05-22T15:32:30Z""",0.52
270,"Date:""2026-05-22T15:50:53Z""",0.48
271,"Date:""2026-05-22T15:51:11Z""",0.48
272,"Date:""2026-05-22T15:51:17Z""",0.48
273,"Date:""2026-05-22T15:51:52Z""",0.5
274,"Date:""2026-05-22T15:52:42Z""",0.47
275,"Date:""2026-05-22T23:27:07Z""",0.79
276,"Date:""2026-05-22T23:30:08Z""",0.81
277,"Date:""2026-05-22T23:33:40Z""",0.8
278,"Date:""2026-05-22T23:52:06Z""",0.78
279,"Date:""2026-05-22T23:52:16Z""",0.79
280,"Date:""2026-05-22T23:52:20Z""",0.78
281,"Date:""2026-05-22T23:52:36Z""",0.81
282,"Date:""2026-05-22T23:52:50Z""",0.81
283,"Date:""2026-05-22T23:53:06Z""",0.79
284,"Date:""2026-05-22T23:53:06Z""",0.79
285,"Date:""2026-05-22T23:53:06Z""",0.79
286,"Date:""2026-05-22T23:59:17Z""",0.78
287,"Date:""2026-05-23T00:02:57Z""",0.78
288,"Date:""2026-05-23T00:45:13Z""",0.73
289,"Date:""2026-05-23T00:45:19Z""",0.72
290,"Date:""2026-05-23T00:45:36Z""",0.73
291,"Date:""2026-05-23T01:25:38Z""",0.78
292,"Date:""2026-05-23T01:28:26Z""",0.77
293,"Date:""2026-05-23T02:04:07Z""",0.74
294,"Date:""2026-05-23T02:37:41Z""",0.72
295,"Date:""2026-05-23T02:43:12Z""",0.72
296,"Date:""2026-05-23T02:47:19Z""",0.72
297,"Date:""2026-05-23T02:47:21Z""",0.72
298,"Date:""2026-05-23T02:51:11Z""",0.72
299,"Date:""2026-05-23T02:51:17Z""",0.72
300,"Date:""2026-05-23T09:33:31Z""",0.32
301,"Date:""2026-05-23T09:43:32Z""",0.72
302,"Date:""2026-05-23T09:43:37Z""",0.73
303,"Date:""2026-05-23T09:58:54Z""",0.72
304,"Date:""2026-05-23T10:20:16Z""",0.73
305,"Date:""2026-05-23T10:23:18Z""",0.73
306,"Date:""2026-05-23T10:25:39Z""",0.73
307,"Date:""2026-05-23T10:25:44Z""",0.72
308,"Date:""2026-05-23T10:27:40Z""",0.29
309,"Date:""2026-05-23T10:28:10Z""",0.29
310,"Date:""2026-05-23T10:30:28Z""",0.29
311,"Date:""2026-05-23T10:37:03Z""",0.29
312,"Date:""2026-05-23T10:39:07Z""",0.29
313,"Date:""2026-05-23T16:22:14Z""",0.81
314,"Date:""2026-05-23T16:29:49Z""",0.32
315,"Date:""2026-05-23T16:32:30Z""",0.34
316,"Date:""2026-05-23T16:45:26Z""",0.32
317,"Date:""2026-05-23T17:07:03Z""",0.32
318,"Date:""2026-05-23T17:10:11Z""",0.32
319,"Date:""2026-05-23T17:10:11Z""",0.32
320,"Date:""2026-05-23T17:25:22Z""",0.37
321,"Date:""2026-05-23T22:47:01Z""",0.26
322,"Date:""2026-05-23T22:50:51Z""",0.35
323,"Date:""2026-05-23T22:50:51Z""",0.35
324,"Date:""2026-05-23T22:54:49Z""",0.26
325,"Date:""2026-05-23T22:55:02Z""",0.26
326,"Date:""2026-05-23T22:58:32Z""",0.26
327,"Date:""2026-05-23T23:01:37Z""",0.26
328,"Date:""2026-05-23T23:23:02Z""",0.7
329,"Date:""2026-05-23T23:23:09Z""",0.7
330,"Date:""2026-05-23T23:29:31Z""",0.71
331,"Date:""2026-05-23T23:53:16Z""",0.71
332,"Date:""2026-05-23T23:53:16Z""",0.71
333,"Date:""2026-05-23T23:53:26Z""",0.71
334,"Date:""2026-05-24T00:19:14Z""",0.69
335,"Date:""2026-05-24T00:19:14Z""",0.69
336,"Date:""2026-05-24T00:19:30Z""",0.69
337,"Date:""2026-05-24T00:23:08Z""",0.69
338,"Date:""2026-05-24T00:38:27Z""",0.72
339,"Date:""2026-05-24T00:41:26Z""",0.29
340,"Date:""2026-05-24T00:41:26Z""",0.29
341,"Date:""2026-05-24T00:44:29Z""",0.71
342,"Date:""2026-05-24T00:46:17Z""",0.72
343,"Date:""2026-05-24T00:46:24Z""",0.72
344,"Date:""2026-05-24T00:46:39Z""",0.72
345,"Date:""2026-05-24T00:46:39Z""",0.72
346,"Date:""2026-05-24T00:51:39Z""",0.72
347,"Date:""2026-05-24T00:51:39Z""",0.72
348,"Date:""2026-05-24T00:51:39Z""",0.72
349,"Date:""2026-05-24T00:51:39Z""",0.72
350,"Date:""2026-05-24T00:54:20Z""",0.72
351,"Date:""2026-05-24T01:01:11Z""",0.34
352,"Date:""2026-05-24T01:15:36Z""",0.32
353,"Date:""2026-05-24T01:25:16Z""",0.72
354,"Date:""2026-05-24T01:25:16Z""",0.72
355,"Date:""2026-05-24T01:45:15Z""",0.69
356,"Date:""2026-05-24T01:50:27Z""",0.71
357,"Date:""2026-05-24T01:50:27Z""",0.71
358,"Date:""2026-05-24T01:50:27Z""",0.71
359,"Date:""2026-05-24T01:59:29Z""",0.69
360,"Date:""2026-05-24T01:59:39Z""",0.69
361,"Date:""2026-05-24T01:59:57Z""",0.69
362,"Date:""2026-05-24T02:01:52Z""",0.68
363,"Date:""2026-05-24T02:07:48Z""",0.7
364,"Date:""2026-05-24T02:07:48Z""",0.7
365,"Date:""2026-05-24T02:10:06Z""",0.72
366,"Date:""2026-05-24T02:24:40Z""",0.71
367,"Date:""2026-05-24T02:32:09Z""",0.41
368,"Date:""2026-05-24T02:32:29Z""",0.43
369,"Date:""2026-05-24T02:38:07Z""",0.41
370,"Date:""2026-05-24T02:38:37Z""",0.38
371,"Date:""2026-05-24T09:17:06Z""",0.72
372,"Date:""2026-05-24T09:30:23Z""",0.74
373,"Date:""2026-05-24T09:30:32Z""",0.74
374,"Date:""2026-05-24T09:44:18Z""",0.26
375,"Date:""2026-05-24T09:52:14Z""",0.29
376,"Date:""2026-05-24T10:10:05Z""",0.72
377,"Date:""2026-05-24T10:10:12Z""",0.73
378,"Date:""2026-05-24T10:13:05Z""",0.72
379,"Date:""2026-05-24T10:13:17Z""",0.72
380,"Date:""2026-05-24T10:14:57Z""",0.72
381,"Date:""2026-05-24T10:15:07Z""",0.72
382,"Date:""2026-05-24T10:17:00Z""",0.75
383,"Date:""2026-05-24T10:20:57Z""",0.78
384,"Date:""2026-05-24T10:32:24Z""",0.78
385,"Date:""2026-05-24T10:32:56Z""",0.78
386,"Date:""2026-05-24T11:57:27Z""",0.26
387,"Date:""2026-05-24T12:21:21Z""",0.81
388,"Date:""2026-05-24T12:27:24Z""",0.81
389,"Date:""2026-05-24T18:50:04Z""",0.75
390,"Date:""2026-05-24T18:59:02Z""",0.73
391,"Date:""2026-05-24T19:08:56Z""",0.83
392,"Date:""2026-05-24T19:13:10Z""",0.78
393,"Date:""2026-05-24T19:16:15Z""",0.81
394,"Date:""2026-05-24T19:22:12Z""",0.74
395,"Date:""2026-05-24T19:22:20Z""",0.72
396,"Date:""2026-05-25T00:08:36Z""",0.35
397,"Date:""2026-05-25T00:09:48Z""",0.29
398,"Date:""2026-05-25T00:09:48Z""",0.29
399,"Date:""2026-05-25T00:26:11Z""",0.69
400,"Date:""2026-05-25T00:26:36Z""",0.69
401,"Date:""2026-05-25T00:26:57Z""",0.69
402,"Date:""2026-05-25T00:27:05Z""",0.69
403,"Date:""2026-05-25T00:41:29Z""",0.75
404,"Date:""2026-05-25T00:46:47Z""",0.69
405,"Date:""2026-05-25T00:46:47Z""",0.69
406,"Date:""2026-05-25T00:46:47Z""",0.69
407,"Date:""2026-05-25T00:52:46Z""",0.7
408,"Date:""2026-05-25T01:04:55Z""",0.7
409,"Date:""2026-05-25T01:27:51Z""",0.72
410,"Date:""2026-05-25T01:32:48Z""",0.71
411,"Date:""2026-05-25T01:45:09Z""",0.71
412,"Date:""2026-05-25T01:45:22Z""",0.73
413,"Date:""2026-05-25T02:06:39Z""",0.72
414,"Date:""2026-05-25T02:06:51Z""",0.72
415,"Date:""2026-05-25T02:11:09Z""",0.71
416,"Date:""2026-05-25T02:34:02Z""",0.71
417,"Date:""2026-05-25T02:34:49Z""",0.72
418,"Date:""2026-05-25T02:35:23Z""",0.72
419,"Date:""2026-05-25T02:35:31Z""",0.72
420,"Date:""2026-05-25T03:18:04Z""",0.72
