,fuel_data,date,raw_data
347,11,260526120527,128
348,11,260526120552,128
349,11,260526120616,128
350,11,260526120642,128
351,11,260526120707,128
352,11,260526120732,128
353,11,260526120757,128
354,11,260526120822,128
355,11,260526120847,129
356,11,260526120911,128
357,11,260526120937,129
358,11,260526121002,129
359,10,260526121027,127
360,10,260526121051,128
361,10,260526121111,128
362,8,260526121142,127
363,8,260526121207,128
364,10,260526121232,127
365,10,260526121256,128
366,10,260526121307,128
367,10,260526121313,128
368,9,260526121339,127
369,9,260526121406,128
370,7,260526121433,129
371,7,260526121500,129
372,10,260526121526,129
373,10,260526121552,128
374,10,260526121557,128
375,10,260526121605,128
376,8,260526121631,128
377,8,260526121643,129
378,8,260526121648,129
379,8,260526121652,129
380,8,260526121718,128
381,9,260526121745,130
382,9,260526121812,130
383,8,260526121839,128
384,8,260526121906,128
385,10,260526121933,128
386,10,260526122000,127
387,10,260526122018,129
388,9,260526122052,127
389,9,260526122117,128
390,7,260526122142,128
391,7,260526122207,129
392,10,260526122232,130
393,10,260526122256,129
394,10,260526122322,129
395,10,260526122347,127
396,10,260526122412,127
397,12,260526122437,127
398,12,260526122501,128
399,9,260526122527,128
400,9,260526122552,130
401,9,260526122617,130
402,9,260526122641,129
403,9,260526122707,128
404,10,260526122729,127
405,10,260526122757,128
406,10,260526122821,128
407,10,260526122836,128
408,10,260526122841,128
409,10,260526122907,128
410,9,260526122934,128
411,9,260526122941,128
412,10,260526123026,130
413,10,260526123052,130
414,10,260526123117,129
415,10,260526123142,129
416,10,260526123206,130
417,10,260526123232,130
418,10,260526123257,130
419,10,260526123322,130
420,10,260526123347,130
421,10,260526123412,130
422,9,260526123437,130
423,9,260526123502,129
424,9,260526123527,128
425,9,260526123552,128
426,9,260526123616,128
427,9,260526123621,129
428,8,260526123651,130
429,10,260526123731,127
430,10,260526123757,130
431,10,260526123822,128
432,10,260526123831,127
433,10,260526123835,127
434,10,260526123902,128
435,9,260526123929,129
436,9,260526123956,128
437,9,260526124023,128
438,9,260526124050,128
439,9,260526124117,128
440,8,260526124142,130
441,8,260526124159,128
442,8,260526124204,128
443,8,260526124208,128
444,9,260526124234,128
445,9,260526124301,127
446,7,260526124328,129
447,7,260526124351,128
448,7,260526124412,128
449,7,260526124417,127
450,7,260526124422,127
451,11,260526124435,128
452,11,260526124440,128
453,11,260526124500,127
454,11,260526124505,128
455,11,260526124509,128
456,11,260526124518,128
457,3,260526124528,128
458,3,260526124546,127
459,3,260526124552,127
460,3,260526124619,130
461,8,260526124643,127
462,8,260526124653,127
463,8,260526124720,130
464,9,260526124747,129
465,9,260526124814,129
466,9,260526124841,127
467,9,260526124908,130
468,9,260526124935,127
469,9,260526125002,130
470,9,260526125027,130
471,9,260526125052,127
472,9,260526125117,130
473,8,260526125142,130
474,8,260526125206,128
475,9,260526125231,128
476,9,260526125257,130
477,9,260526125322,128
478,7,260526125347,129
479,7,260526125412,130
480,9,260526125436,128
481,9,260526125501,127
482,8,260526125527,130
483,8,260526125552,130
484,8,260526125617,128
485,8,260526125642,128
486,8,260526125707,130
487,9,260526125732,130
488,9,260526125757,130
489,9,260526125822,127
490,8,260526125827,127
491,8,260526125837,130
492,8,260526125904,127
493,9,260526125931,128
494,9,260526125958,128
495,9,260526130025,130
496,9,260526130052,129
497,9,260526130117,129
498,8,260526130141,129
499,8,260526130206,128
500,8,260526130232,129
501,8,260526130257,130
502,8,260526130322,130
503,8,260526130347,127
504,8,260526130356,129
505,8,260526130400,130
506,10,260526130427,128
507,10,260526130434,128
508,10,260526130501,128
509,8,260526130528,129
510,8,260526130541,129
511,8,260526130608,130
512,8,260526130619,128
513,9,260526130633,128
514,9,260526130701,127
515,9,260526130707,127
516,9,260526130713,128
517,8,260526130740,129
518,8,260526130807,126
519,10,260526130834,130
520,10,260526130901,130
521,10,260526130928,129
522,10,260526130955,130
523,10,260526131022,127
524,7,260526131033,130
525,7,260526131038,130
526,7,260526131105,127
527,9,260526131132,130
528,9,260526131159,128
529,9,260526131207,128
530,9,260526131225,128
531,11,260526131231,128
532,11,260526131247,128
533,11,260526131253,128
534,11,260526131320,128
535,10,260526131347,128
536,10,260526131414,129
537,8,260526131441,130
538,8,260526131508,130
539,8,260526131535,130
540,8,260526132142,40
541,8,260526132641,40
542,8,260526133142,40
543,8,260526133642,40
544,8,260526134142,40
545,8,260526134642,40
546,11,260526024150,40
547,8,260526135141,40
548,8,260526135642,40
549,8,260526140142,40
550,8,260526140642,40
551,8,260526141142,40
552,8,260526141641,40
553,8,260526142142,40
554,8,260526142642,40
555,8,260526143142,40
556,8,260526143642,40
557,8,260526144142,40
558,8,260526144642,40
559,8,260526145142,40
560,8,260526145642,40
561,8,260526150142,40
562,8,260526150642,40
563,8,260526151142,40
564,8,260526151642,40
565,8,260526152142,40
566,8,260526152642,40
567,8,260526153141,40
568,8,260526153641,40
569,8,260526154142,40
570,8,260526154642,40
571,8,260526155142,40
572,8,260526155642,40
573,8,260526160142,40
574,8,260526160642,40
575,8,260526161142,40
576,8,260526161641,40
577,8,260526162141,40
578,8,260526162641,40
579,8,260526163142,40
580,8,260526163642,40
581,8,260526163748,40
582,8,260526164250,40
583,8,260526164750,40
584,8,260526165250,40
585,8,260526165749,40
586,8,260526170249,40
587,8,260526170750,40
588,8,260526171250,40
589,8,260526171750,40
590,8,260526172250,40
591,8,260526172750,40
592,8,260526173250,40
593,8,260526173750,40
594,8,260526174249,40
595,8,260526174750,40
596,8,260526175250,40
597,8,260526175750,40
598,8,260526180250,40
599,8,260526180750,40
600,8,260526181250,40
601,8,260526181750,40
602,8,260526182249,40
603,8,260526182750,40
604,8,260526183250,40
605,8,260526183750,40
606,8,260526184250,40
607,8,260526184750,40
608,8,260526185250,40
609,8,260526185750,40
610,8,260526190250,40
611,8,260526190750,40
612,8,260526191250,40
613,8,260526191750,40
614,8,260526192250,40
615,8,260526192750,40
616,8,260526193249,40
617,8,260526193749,40
618,8,260526194250,40
619,8,260526194750,40
620,8,260526195250,40
621,8,260526195750,40
622,8,260526200250,40
623,8,260526200749,40
624,8,260526201250,40
625,8,260526201750,40
626,8,260526201933,40
627,8,260526201939,40
628,8,260526202014,40
629,8,260526202130,40
630,8,260526202135,40
631,8,260526202632,40
632,8,260526203110,40
633,8,260526203632,40
634,8,260526204132,40
635,8,260526204253,40
636,8,260526204258,40
637,8,260526204310,40
638,8,260526204327,40
639,8,260526204755,40
640,8,260526205255,40
641,8,260526205756,40
642,8,260526210256,40
643,8,260526210756,40
644,8,260526211256,40
645,8,260526211756,40
646,8,260526212256,40
647,8,260526212756,40
648,8,260526212956,40
649,8,260526213459,40
650,8,260526213932,40
651,8,260526214459,40
652,8,260526214959,40
653,8,260526215459,40
654,8,260526215959,40
655,8,260526220459,40
656,8,260526220959,40
657,8,260526221442,40
658,8,260526221457,40
659,8,260526221601,40
660,8,260526221653,40
661,8,260526222104,40
662,8,260526222156,40
663,8,260526222326,40
664,8,260526222333,40
665,8,260526222829,40
666,8,260526223329,40
667,8,260526223829,40
668,8,260526224329,40
669,8,260526224829,40
670,8,260526225329,40
671,8,260526225829,40
672,8,260526230329,40
673,8,260526230829,40
674,8,260526231329,40
675,8,260526231811,79
676,7,260526231836,82
677,7,260526231901,85
678,7,260526231926,88
679,7,260526231951,91
680,7,260526232013,94
681,7,260526232018,95
682,7,260526232024,97
683,7,260526232029,97
684,6,260526232056,99
685,6,260526232124,101
686,6,260526232151,103
687,6,260526232218,105
688,6,260526232246,106
689,6,260526232311,108
690,6,260526232336,110
691,6,260526232401,112
692,6,260526232426,114
693,6,260526232451,115
694,6,260526232516,117
695,6,260526232541,118
696,6,260526232835,126
697,6,260526232900,127
698,6,260526232925,127
699,6,260526232950,128
700,6,260526233015,127
701,6,260526233040,127
702,6,260526233049,127
703,5,260526233129,127
704,5,260526233139,127
705,7,260526233220,128
706,7,260526233245,128
707,7,260526233310,128
708,7,260526233335,128
709,7,260526233339,128
710,7,260526233345,127
711,11,260526233352,128
712,11,260526233357,128
713,11,260526233424,127
714,7,260526233451,128
715,7,260526233518,128
716,7,260526233545,127
717,7,260526233553,127
