,Created,Message,Status,Codes
29,2026-09-13 00:24:30.642,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":947,""Mileage"":137339,""Date"":""2026-09-13T00:24:27Z"",""IopIgnition"":true,""Latitude"":4.1466159820556641,""Longitude"":-76.179885864257813,""Altitude"":974.20001220703125,""ExternalPowerVoltage"":28.52,""Rpm"":1934,""Speed"":74.0,""SatelliteNumber"":17,""Azimuth"":191,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":53,""AirPressure"":87,""CoolingFluidTemp"":82,""EngineLoad"":54,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":61528,""ThrottlePosition"":-999}]",0x262602005303B30867284063983169001902581E0000003E51000005000000400000000002187B00260913002427CD8C73441A5C98C214B18440069000BF285207400000F0580000460F078E35577A4636FFFF,02
30,2026-09-13 00:24:57.008,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":948,""Mileage"":137906,""Date"":""2026-09-13T00:24:53Z"",""IopIgnition"":true,""Latitude"":4.1418795585632324,""Longitude"":-76.180618286132813,""Altitude"":973.5,""ExternalPowerVoltage"":28.48,""Rpm"":1844,""Speed"":70.0,""SatelliteNumber"":17,""Azimuth"":182,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":66,""AirPressure"":104,""CoolingFluidTemp"":83,""EngineLoad"":36,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":61701,""ThrottlePosition"":-999}]",0x262602005303B40867284063983169001902581E0000004F510000050000004000000000021AB200260913002453006073447A5C98C2478A8440065000B6284807000000F10500005751073442687B4624FFFF,02
31,2026-09-13 00:25:23.564,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":949,""Mileage"":138398,""Date"":""2026-09-13T00:25:20Z"",""IopIgnition"":true,""Latitude"":4.137608528137207,""Longitude"":-76.180351257324219,""Altitude"":978.0999755859375,""ExternalPowerVoltage"":28.48,""Rpm"":1868,""Speed"":71.0,""SatelliteNumber"":15,""Azimuth"":173,""BatteryLevel"":100,""AirInflowTemp"":29,""AirInput"":73,""AirPressure"":127,""CoolingFluidTemp"":83,""EngineLoad"":83,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":61851,""ThrottlePosition"":-999}]",0x262602005303B50867284063983169001902581E0000003A4F0000050000004000000000021C9E0026091300252066867444575C98C24A678440068000AD284807100000F19B00006053074C497F7B4553FFFF,02
32,2026-09-13 00:25:50.025,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":950,""Mileage"":138893,""Date"":""2026-09-13T00:25:46Z"",""IopIgnition"":true,""Latitude"":4.1332511901855469,""Longitude"":-76.181068420410156,""Altitude"":979.20001220703125,""ExternalPowerVoltage"":28.51,""Rpm"":1708,""Speed"":65.0,""SatelliteNumber"":15,""Azimuth"":196,""BatteryLevel"":100,""AirInflowTemp"":29,""AirInput"":65,""AirPressure"":109,""CoolingFluidTemp"":83,""EngineLoad"":24,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":62011,""ThrottlePosition"":-999}]",0x262602005303B60867284063983169001902581E0000001F4F0000050000004000000000021E8D00260913002546CDCC7444B55C98C298438440063000C4285106500000F23B0000554606AC416D7B4518FFFF,02
33,2026-09-13 00:26:16.549,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":951,""Mileage"":139366,""Date"":""2026-09-13T00:26:13Z"",""IopIgnition"":true,""Latitude"":4.12990665435791,""Longitude"":-76.182037353515625,""Altitude"":976.0999755859375,""ExternalPowerVoltage"":28.49,""Rpm"":1617,""Speed"":61.0,""SatelliteNumber"":15,""Azimuth"":187,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":54,""AirPressure"":99,""CoolingFluidTemp"":82,""EngineLoad"":36,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":62139,""ThrottlePosition"":-999}]",0x262602005303B70867284063983169001902581E000000414F00000500000040000000000220660026091300261366067444345D98C232288440057000BB284906100000F2BB0000475E065136637A4624FFFF,02
34,2026-09-13 00:26:26.605,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":952,""Mileage"":139543,""Date"":""2026-09-13T00:26:23Z"",""IopIgnition"":true,""Latitude"":4.127871036529541,""Longitude"":-76.181716918945313,""Altitude"":974.0,""ExternalPowerVoltage"":28.48,""Rpm"":1723,""Speed"":65.0,""SatelliteNumber"":16,""Azimuth"":156,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":59,""AirPressure"":107,""CoolingFluidTemp"":82,""EngineLoad"":44,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":62197,""ThrottlePosition"":-999}]",0x262602005303B80867284063983169001902581E0000002C50000005000000400000000002211700260913002623008073440A5D98C2851784400620009C284806500000F2F500004E2606BB3B6B7A462CFFFF,02
35,2026-09-13 00:27:16.988,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":953,""Mileage"":140059,""Date"":""2026-09-13T00:26:49Z"",""IopIgnition"":true,""Latitude"":4.124692440032959,""Longitude"":-76.17877197265625,""Altitude"":970.5,""ExternalPowerVoltage"":28.46,""Rpm"":1944,""Speed"":74.0,""SatelliteNumber"":16,""Azimuth"":131,""BatteryLevel"":100,""AirInflowTemp"":29,""AirInput"":69,""AirPressure"":108,""CoolingFluidTemp"":82,""EngineLoad"":83,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":62372,""ThrottlePosition"":-999}]",0x262602005303B90867284063983169001902581E0000000350000005000000400000000002231B0026091300264900A07244885B98C27BFD834007000083284607400000F3A400005B3F0798456C7A4553FFFF,02
36,2026-09-13 00:27:17.029,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":954,""Mileage"":140320,""Date"":""2026-09-13T00:27:04Z"",""IopIgnition"":true,""Latitude"":4.122866153717041,""Longitude"":-76.177383422851563,""Altitude"":970.5,""ExternalPowerVoltage"":28.42,""Rpm"":1780,""Speed"":67.0,""SatelliteNumber"":15,""Azimuth"":169,""BatteryLevel"":100,""AirInflowTemp"":29,""AirInput"":73,""AirPressure"":136,""CoolingFluidTemp"":82,""EngineLoad"":17,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":62449,""ThrottlePosition"":-999}]",0x262602005303BA0867284063983169001902581E000000184F00000500000040000000000224200026091300270400A07244D25A98C285EE8340064000A9284206700000F3F10000605306F449887A4511FFFF,02
37,2026-09-13 00:27:34.130,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":955,""Mileage"":140820,""Date"":""2026-09-13T00:27:30Z"",""IopIgnition"":true,""Latitude"":4.1185321807861328,""Longitude"":-76.176826477050781,""Altitude"":978.9000244140625,""ExternalPowerVoltage"":28.49,""Rpm"":1740,""Speed"":66.0,""SatelliteNumber"":14,""Azimuth"":170,""BatteryLevel"":100,""AirInflowTemp"":29,""AirInput"":64,""AirPressure"":115,""CoolingFluidTemp"":83,""EngineLoad"":69,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":62608,""ThrottlePosition"":-999}]",0x262602005303BB0867284063983169001902581E0000001B4E0000050000004000000000022614002609130027309AB97444895A98C204CB8340062000AA284906600000F490000058B806CC40737B4545FFFF,02
38,2026-09-13 00:28:00.592,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":956,""Mileage"":141286,""Date"":""2026-09-13T00:27:57Z"",""IopIgnition"":true,""Latitude"":4.1146183013916016,""Longitude"":-76.175498962402344,""Altitude"":977.9000244140625,""ExternalPowerVoltage"":28.48,""Rpm"":1809,""Speed"":69.0,""SatelliteNumber"":16,""Azimuth"":166,""BatteryLevel"":100,""AirInflowTemp"":29,""AirInput"":55,""AirPressure"":92,""CoolingFluidTemp"":85,""EngineLoad"":31,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":62778,""ThrottlePosition"":-999}]",0x262602005303BC0867284063983169001902581E0000001F5000000500000040000000000227E6002609130027579A797444DB5998C2F4AA8340066000A6284806900000F53A000048810711375C7D451FFFFF,02
