,sample_number,date,temp,status
59,59,260913003952,82,0x262602005303D80867284063983169001902581E0000002550000005000000400000000002294B0026091300395200C07444D65998C2F8958340000000C4282900000000FE380000355C046328597A4613FFFF
60,60,260913004017,83,0x262602005303D90867284063983169001902581E0000001F4F00000500000040000000000229C10026091300401766C67644DF5998C2968B8340039000B6284604000000FEB700005E9C069448767B4539FFFF
61,61,260913004042,85,0x262602005303DA0867284063983169001902581E0000001F4E0000050000004000000000022B4A00260913004042CD2C7844F75998C2E1708340061000B6284506400000FF47000054CA068A40797D4563FFFF
62,62,260913004107,85,0x262602005303DB0867284063983169001902581E0000001F4E0000050000004000000000022CF3002609130041079AB97744BF5998C290518340057000B6284706000000FFC100003D0C063F2E567D4600FFFF
63,63,260913004132,84,0x262602005303DC0867284063983169001902581E0000001F4E0000050000004000000000022E9400260913004132CD4C7844335A98C202368340054000C228450570000100330000453B05E1346A7C4536FFFF
64,64,260913004154,84,0x262602005303DD0867284063983169001902581E000000224E0000050000004000000000022FE20026091300415400407944335A98C21B1E8340048000A32842049000010092000036E8053E205A7C461A1EFF
65,65,260913004206,85,0x262602005303DE0867284063983169001902581E000000294E000005000000400000000002305400260913004206CDAC7944225A98C223168340028000CB28430290000100AC0000333A04EB275F7D4600FFFF
66,66,260913004247,85,0x262602005303DF0867284063983169001902581E0000002C4F000005000000400000000002320D0026091300424766A67A44355B98C2B7FB8240023000D428410250000101490000218C03870C5B7D4615FFFF
67,67,260913004311,85,0x262602005303E00867284063983169001902581E0000001F50000005000000400000000002326C0026091300431166267A44515B98C2FAF78240000000C7284000800001017F000019DC01E80E587D4609FFFF
68,68,260913004337,85,0x262602005303E10867284063983169001902581E0000001B4F00000500000040000000000232880026091300433766267A44515B98C2FAF78240000000C728400000000101A20000195D023F0C587D4612FFFF
69,69,260913004426,84,0x262602005303E30867284063983169001902581E000000004E00000500000040000000000232880026091300442666267A44515B98C2FAF78240000000C7284700000001026600003EAF063E2C567C4613FFFF
70,70,260913004452,83,0x262602005303E40867284063983169001902581E0000002C4F00000500000040000000000232880026091300445266267A44515B98C2FAF78240000000C728480000000102D700003475064228567B460FFFFF
71,71,260913004517,83,0x262602005303E50867284063983169001902581E0000002C4F00000500000040000000000232880026091300451766267A44515B98C2FAF78240000000C72848000000010335000035EC064029597B460FFFFF
72,72,260913004542,83,0x262602005303E60867284063983169001902581E0000002C4F00000500000040000000000232880026091300454266267A44515B98C2FAF78240000000C728480000000103A000003D0C063F2E577B460FFFFF
73,73,260913004607,83,0x262602005303E70867284063983169001902581E0000002C4F00000500000040000000000232880026091300460766267A44515B98C2FAF78240000000C728490000000104050000391E063F2B577B4615FFFF
74,74,260913004632,83,0x262602005303E80867284063983169001902581E0000002C4F00000500000040000000000232880026091300463266267A44515B98C2FAF78240000000C7284900000001046E00003BE806412D577B4615FFFF
75,75,260913004657,83,0x262602005303E90867284063983169001902581E000000294D00000500000040000000000232880026091300465766267A44515B98C2FAF78240000000C728490000000104D000003A8206412C567B470FFFFF
76,76,260913004722,83,0x262602005303EA0867284063983169001902581E000000254F00000500000040000000000232880026091300472266267A44515B98C2FAF78240000000C7284900000001054200003F17062F305A7B461FFFFF
77,77,260913004747,83,0x262602005303EB0867284063983169001902581E0000002C4E00000500000040000000000232880026091300474766267A44515B98C2FAF78240000000C728470000000105AA00003F6B064030567B4610FFFF
78,78,260913004812,83,0x262602005303EC0867284063983169001902581E000000254F00000500000040000000000232880026091300481266267A44515B98C2FAF78240000000C728340000000105ED0000109A023F0C5A7B460EFFFF
79,79,260913004837,83,0x262602005303ED0867284063983169001902581E000000254E000005000000400000000002328D0026091300483766267A44515B98C2FAF78240000000C728330050000106150000268903551D5A7B4744FFFF
80,80,260913004851,83,0x262602005303EE0867284063983169001902581E000000254F000005000000400000000002329B0026091300485133137B44755B98C2EFF482400110001B2839008000010629000024D203891C5C7B4620FFFF
81,81,260913004927,83,0x262602005303EF0867284063983169001902581E000000294E00000500000040000000000233CD0026091300492700007D44B45A98C2C40783400320001D28430350000106D200003E6F062C30587B4600FFFF
82,82,260913004952,83,0x262602005303F00867284063983169001902581E0000002C4E0000050000004000000000023445002609130049529A397D44785A98C20B0D83400000002728420000000107190000182202400C5A7B460EFFFF
83,83,260913005017,83,0x262602005303F10867284063983169001902581E0000003A4D0000050000004000000000023445002609130050179A397D44785A98C20B0D83400000002728340000000107380000177A023F11587B460FFFFF
84,84,260913005041,83,0x262602005303F20867284063983169001902581E0000003A4D0000050000004000000000023445002609130050419A397D44785A98C20B0D834000000027283700000001075D00001657023F11597B460EFFFF
85,85,260913005107,83,0x262602005303F30867284063983169001902581E000000374D0000050000004000000000023445002609130051079A397D44785A98C20B0D834000000027283500000001077B00000F9F024010587B460EFFFF
86,86,260913005131,83,0x262602005303F40867284063983169001902581E0000003A4D0000050000004000000000023445002609130051319A397D44785A98C20B0D83400000002728350000000107A30000144C023F0F5A7B460EFFFF
87,87,260913005157,83,0x262602005303F50867284063983169001902581E0000003A4E0000050000004000000000023445002609130051579A397D44785A98C20B0D83400000002728380000000107C3000017CE0240125B7B460EFFFF
88,88,260913005221,83,0x262602005303F60867284063983169001902581E0000003A4D0000050000004000000000023445002609130052219A397D44785A98C20B0D83400000002728350000000107EA00000E8F02400B5A7B460EFFFF
89,89,260913005247,83,0x262602005303F70867284063983169001902581E0000003A4E0000050000004000000000023445002609130052479A397D44785A98C20B0D834000000027283500000001080900001142023E0D5A7B460EFFFF
90,90,260913005312,83,0x262602005303F80867284063983169001902581E0000003A4E0000050000004000000000023445002609130053129A397D44785A98C20B0D834000000027284000000001082C00000EBB023F0B5A7B460EFFFF
91,91,260913005337,83,0x262602005303F90867284063983169001902581E0000003A4E0000050000004000000000023445002609130053379A397D44785A98C20B0D834000000027283500000001084D000011AD02400D597B460EFFFF
92,92,260913005402,82,0x262602005303FA0867284063983169001902581E0000003A4E0000050000004000000000023445002609130054029A397D44785A98C20B0D834000000027283500000001086C00000EBB023E0B587A450EFFFF
93,93,260913005427,82,0x262602005303FB0867284063983169001902581E0000003A4E0000050000004000000000023445002609130054279A397D44785A98C20B0D834000000027283600000001088A0000144C023E0F587A460EFFFF
94,94,260913005452,82,0x262602005303FC0867284063983169001902581E000000374E0000050000004000000000023445002609130054529A397D44785A98C20B0D83400000002728350000000108B20000159B024010587A460EFFFF
95,95,260913005517,82,0x262602005303FD0867284063983169001902581E0000003A4D0000050000004000000000023445002609130055179A397D44785A98C20B0D83400000002728390000000108D100000F23023D0B5A7A450EFFFF
96,96,260913005542,82,0x262602005303FE0867284063983169001902581E0000003E4D0000050000004000000000023445002609130055429A397D44785A98C20B0D83400000002728350000000108F4000011EA02400D597A450EFFFF
97,97,260913005607,82,0x262602005303FF0867284063983169001902581E0000003A4D0000050000004000000000023445002609130056079A397D44785A98C20B0D83400000002728350000000109140000188D023F12597A450EFFFF
98,98,260913005632,81,0x262602005304000867284063983169001902581E000000304E0000050000004000000000023445002609130056329A397D44785A98C20B0D8340000000272835000000010932000017FA023E0C5A79450EFFFF
99,99,260913005657,81,0x262602005304010867284063983169001902581E000000304E0000050000004000000000023445002609130056579A397D44785A98C20B0D8340000000272840000000010957000016D3023E115879450EFFFF
100,100,260913005722,81,0x262602005304020867284063983169001902581E000000374E0000050000004000000000023445002609130057229A397D44785A98C20B0D8340000000272837000000010975000010EE023E0C5A79450EFFFF
101,101,260913005746,81,0x262602005304030867284063983169001902581E000000334E00000500000040000000000234C1002609130057469A197F44125A98C2401683400300002728420320000109E40000468B05CB356E794448FFFF
102,102,260913005801,81,0x262602005304040867284063983169001902581E0000003E4F00000500000040000000000235340026091300580166867F44B75998C2FF1B8340026000472841027000010A1300002E6505012157794524FFFF
103,103,260913005804,81,0x262602005304050867284063983169001902581E0000003E4E000005000000400000000002354A0026091300580400807F449E5998C2F21B8340023000682843027000010A1C00002ACB04CB205D794524FFFF
104,104,260913005807,81,0x262602005304060867284063983169001902581E000000304D00000500000040000000000235700026091300580733F37E44855998C25E1A8340026000A22843027000010A2C00002EA504DE235A794524FFFF
105,105,260913005811,81,0x262602005304070867284063983169001902581E000000304E00000500000040000000000235810026091300581166C67E44865998C2EE188340026000CA2841027000010A3500002C0604DE2159794524FFFF
