,Value fs01,Dates fs01
179,281,2026-03-14 17:56:00.470
180,289,2026-03-14 17:56:01.026
181,297,2026-03-14 17:56:01.547
182,305,2026-03-14 17:56:02.095
183,312,2026-03-14 17:56:02.663
184,320,2026-03-14 17:56:13.112
185,326,2026-03-14 17:56:27.173
186,333,2026-03-14 17:56:41.150
187,340,2026-03-14 17:56:55.246
188,346,2026-03-14 17:57:09.276
189,352,2026-03-14 17:57:23.193
190,358,2026-03-14 17:57:37.176
191,363,2026-03-14 17:57:51.151
192,368,2026-03-14 17:58:05.235
193,373,2026-03-14 17:58:19.315
194,378,2026-03-14 17:58:34.638
195,382,2026-03-14 17:58:47.164
196,387,2026-03-14 17:59:01.146
197,391,2026-03-14 17:59:15.254
198,394,2026-03-14 17:59:28.989
199,397,2026-03-14 17:59:42.975
200,400,2026-03-14 17:59:56.986
201,403,2026-03-14 18:00:10.989
202,405,2026-03-14 18:00:25.066
203,407,2026-03-14 18:00:38.992
204,409,2026-03-14 18:00:52.986
205,411,2026-03-14 18:01:07.066
206,412,2026-03-14 18:01:21.072
207,412,2026-03-14 18:01:35.056
208,412,2026-03-14 18:01:49.072
209,411,2026-03-14 18:02:02.325
210,414,2026-03-14 18:02:17.069
211,414,2026-03-14 18:02:31.071
212,414,2026-03-14 18:02:45.074
213,414,2026-03-14 18:02:59.085
214,414,2026-03-14 18:03:13.056
215,414,2026-03-14 18:03:27.056
216,414,2026-03-14 18:03:41.066
217,414,2026-03-14 18:03:55.067
218,414,2026-03-14 18:04:09.086
219,414,2026-03-14 18:04:23.073
220,414,2026-03-14 18:04:37.066
221,408,2026-03-14 18:04:51.081
222,409,2026-03-14 18:05:05.081
223,395,2026-03-14 18:05:19.067
224,348,2026-03-14 18:05:33.070
225,278,2026-03-14 18:05:47.056
226,243,2026-03-14 18:06:01.081
227,241,2026-03-14 18:06:15.073
228,244,2026-03-14 18:06:29.105
229,244,2026-03-14 18:06:43.085
230,244,2026-03-14 18:06:57.066
231,244,2026-03-14 18:07:11.071
232,244,2026-03-14 18:07:25.105
233,244,2026-03-14 18:07:39.073
234,244,2026-03-14 18:07:53.085
235,244,2026-03-14 18:08:07.074
236,244,2026-03-14 18:08:21.082
237,244,2026-03-14 18:08:35.068
238,241,2026-03-14 18:08:49.067
239,181,2026-03-14 18:09:03.153
240,139,2026-03-14 18:09:17.090
241,128,2026-03-14 18:09:31.068
242,128,2026-03-14 18:09:45.086
243,128,2026-03-14 18:09:59.067
244,128,2026-03-14 18:10:13.074
245,128,2026-03-14 18:10:27.068
246,128,2026-03-14 18:10:41.082
247,128,2026-03-14 18:10:55.067
248,128,2026-03-14 18:11:09.000
249,128,2026-03-14 18:11:23.082
250,128,2026-03-14 18:11:37.067
251,128,2026-03-14 18:11:51.109
252,128,2026-03-14 18:12:05.067
253,128,2026-03-14 18:12:19.082
254,128,2026-03-14 18:12:33.067
255,128,2026-03-14 18:12:47.068
256,128,2026-03-14 18:13:01.154
257,128,2026-03-14 18:13:15.067
258,128,2026-03-14 18:13:29.037
259,131,2026-03-14 18:13:43.038
260,148,2026-03-14 18:13:57.052
261,167,2026-03-14 18:14:11.052
262,193,2026-03-14 18:14:25.118
263,203,2026-03-14 18:14:39.136
264,213,2026-03-14 18:14:53.140
265,222,2026-03-14 18:15:07.138
266,230,2026-03-14 18:15:21.138
267,229,2026-03-14 18:15:35.132
268,239,2026-03-14 18:15:49.168
269,325,2026-03-14 18:16:03.117
270,433,2026-03-14 18:16:17.128
271,500,2026-03-14 18:16:31.133
272,499,2026-03-14 18:16:45.140
273,500,2026-03-14 18:16:59.141
274,500,2026-03-14 18:17:13.118
275,489,2026-03-14 18:17:27.168
276,526,2026-03-14 18:17:41.118
277,583,2026-03-14 18:17:55.137
278,614,2026-03-14 18:18:09.133
279,692,2026-03-14 18:18:23.167
280,771,2026-03-14 18:18:37.137
281,771,2026-03-14 18:18:51.155
282,793,2026-03-14 18:19:05.133
283,852,2026-03-14 18:19:19.155
284,956,2026-03-14 18:19:33.135
285,964,2026-03-14 18:19:47.134
286,987,2026-03-14 18:20:01.213
287,1071,2026-03-14 18:20:15.133
288,1128,2026-03-14 18:20:29.138
289,1128,2026-03-14 18:20:43.142
290,1139,2026-03-14 18:20:57.169
291,1237,2026-03-14 18:21:11.133
292,1275,2026-03-14 18:21:25.142
293,1278,2026-03-14 18:21:39.134
294,1344,2026-03-14 18:21:53.156
295,1431,2026-03-14 18:22:07.133
296,1434,2026-03-14 18:22:21.156
297,1435,2026-03-14 18:22:35.063
298,1454,2026-03-14 18:22:49.141
299,1466,2026-03-14 18:23:03.134
300,1487,2026-03-14 18:23:17.142
301,1527,2026-03-14 18:23:31.146
302,1578,2026-03-14 18:23:45.133
303,1623,2026-03-14 18:23:59.133
304,1629,2026-03-14 18:24:13.141
305,1630,2026-03-14 18:24:27.141
306,1630,2026-03-14 18:24:41.170
307,1685,2026-03-14 18:24:55.139
308,1743,2026-03-14 18:25:09.134
309,1802,2026-03-14 18:25:23.142
310,1823,2026-03-14 18:25:37.170
311,1823,2026-03-14 18:25:51.140
312,1847,2026-03-14 18:26:05.215
313,1900,2026-03-14 18:26:19.220
314,1954,2026-03-14 18:26:33.214
315,2002,2026-03-14 18:26:47.251
316,2007,2026-03-14 18:27:01.154
317,2007,2026-03-14 18:27:15.157
318,2007,2026-03-14 18:27:29.214
319,2007,2026-03-14 18:27:43.237
320,2008,2026-03-14 18:27:57.215
321,2008,2026-03-14 18:28:11.220
322,2008,2026-03-14 18:28:25.230
323,2008,2026-03-14 18:28:39.245
324,2008,2026-03-14 18:28:53.222
325,2008,2026-03-14 18:29:07.234
326,2008,2026-03-14 18:29:21.251
327,2008,2026-03-14 18:29:35.239
328,2008,2026-03-14 18:29:49.249
329,2008,2026-03-14 18:30:03.234
330,2008,2026-03-14 18:30:17.220
331,2008,2026-03-14 18:30:31.230
332,2008,2026-03-14 18:30:45.267
333,2008,2026-03-14 18:30:59.401
334,2008,2026-03-14 18:31:13.910
335,2008,2026-03-14 18:31:27.416
336,2008,2026-03-14 18:31:41.402
337,2008,2026-03-14 18:31:55.379
338,2008,2026-03-14 18:32:09.414
339,2008,2026-03-14 18:32:23.391
340,2008,2026-03-14 18:32:37.397
341,2008,2026-03-14 18:32:51.365
342,2008,2026-03-14 18:33:05.347
343,2008,2026-03-14 18:33:19.386
344,2008,2026-03-14 18:33:33.270
345,2008,2026-03-14 18:33:47.250
346,2008,2026-03-14 18:34:01.239
347,2008,2026-03-14 18:34:15.231
348,2008,2026-03-14 18:34:29.231
349,2008,2026-03-14 18:34:43.236
350,2008,2026-03-14 18:34:57.238
351,2008,2026-03-14 18:35:11.235
352,2008,2026-03-14 18:35:25.270
353,2008,2026-03-14 18:35:39.250
354,2008,2026-03-14 18:35:53.221
355,2008,2026-03-14 18:36:07.231
356,2008,2026-03-14 18:36:21.270
357,2008,2026-03-14 18:36:35.270
358,2008,2026-03-14 18:36:49.246
359,2008,2026-03-14 18:37:03.221
360,2008,2026-03-14 18:37:17.232
361,2008,2026-03-14 18:37:31.236
362,2008,2026-03-14 18:37:45.239
363,2008,2026-03-14 18:37:59.232
364,2008,2026-03-14 18:38:13.237
365,2008,2026-03-14 18:38:27.232
366,2008,2026-03-14 18:38:41.236
367,2008,2026-03-14 18:38:55.222
368,2008,2026-03-14 18:39:09.319
369,2008,2026-03-14 18:39:23.312
370,2008,2026-03-14 18:39:37.312
371,2008,2026-03-14 18:39:51.316
372,2008,2026-03-14 18:40:05.301
373,2008,2026-03-14 18:40:19.232
374,2008,2026-03-14 18:40:33.247
375,2008,2026-03-14 18:40:47.319
376,2008,2026-03-14 18:41:01.319
377,2008,2026-03-14 18:41:15.302
378,2008,2026-03-14 18:41:29.312
379,2008,2026-03-14 18:41:43.302
380,2008,2026-03-14 18:41:57.312
381,2008,2026-03-14 18:42:11.361
382,2008,2026-03-14 18:42:25.313
383,2008,2026-03-14 18:42:39.319
384,2008,2026-03-14 18:42:53.313
385,2008,2026-03-14 18:43:07.381
386,2008,2026-03-14 18:43:21.363
387,2008,2026-03-14 18:43:35.352
388,2008,2026-03-14 18:43:49.331
389,2008,2026-03-14 18:44:03.382
390,2008,2026-03-14 18:44:17.336
391,2008,2026-03-14 18:44:31.361
392,2008,2026-03-14 18:44:45.371
393,2008,2026-03-14 18:44:59.349
394,2008,2026-03-14 18:45:13.354
395,2008,2026-03-14 18:45:27.408
396,2008,2026-03-14 18:45:41.415
397,2008,2026-03-14 18:45:55.404
398,2008,2026-03-14 18:46:09.352
399,2008,2026-03-14 18:46:23.345
400,2008,2026-03-14 18:46:37.371
401,2008,2026-03-14 18:46:51.338
402,2008,2026-03-14 18:47:05.396
403,2008,2026-03-14 18:47:19.365
404,2008,2026-03-14 18:47:33.311
405,2008,2026-03-14 18:47:47.409
406,2008,2026-03-14 18:48:01.349
407,2008,2026-03-14 18:48:15.351
408,2008,2026-03-14 18:48:29.383
409,2008,2026-03-14 18:48:43.369
410,2008,2026-03-14 18:48:57.409
411,2008,2026-03-14 18:49:11.393
412,2008,2026-03-14 18:49:25.377
413,2008,2026-03-14 18:49:39.372
414,2008,2026-03-14 18:49:53.357
415,2008,2026-03-14 18:50:07.394
416,2008,2026-03-14 18:50:21.368
417,2008,2026-03-14 18:50:35.400
418,2008,2026-03-14 18:50:49.364
419,2008,2026-03-14 18:51:03.321
420,2008,2026-03-14 18:51:17.284
421,2008,2026-03-14 18:51:31.293
422,2008,2026-03-14 18:51:45.302
423,2008,2026-03-14 18:51:59.295
424,2008,2026-03-14 18:52:13.386
425,2008,2026-03-14 18:52:27.364
426,2008,2026-03-14 18:52:41.379
427,2008,2026-03-14 18:52:55.399
428,2008,2026-03-14 18:53:09.379
429,2008,2026-03-14 18:53:23.306
430,2008,2026-03-14 18:53:37.334
431,2008,2026-03-14 18:53:51.375
432,2008,2026-03-14 18:54:05.364
433,2008,2026-03-14 18:54:19.439
434,2008,2026-03-14 18:54:33.468
435,2008,2026-03-14 18:54:47.448
436,2008,2026-03-14 18:55:01.453
437,2008,2026-03-14 18:55:15.453
438,2008,2026-03-14 18:55:29.450
439,2008,2026-03-14 18:55:43.868
440,2008,2026-03-14 18:55:57.387
441,2008,2026-03-14 18:56:11.388
442,2008,2026-03-14 18:56:25.445
443,2008,2026-03-14 18:56:39.379
444,2008,2026-03-14 18:56:53.380
445,2008,2026-03-14 18:57:07.379
446,2008,2026-03-14 18:57:21.385
447,2008,2026-03-14 18:57:35.379
448,2008,2026-03-14 18:57:49.380
449,2008,2026-03-14 18:58:03.379
450,2008,2026-03-14 18:58:17.388
451,2008,2026-03-14 18:58:31.388
452,2008,2026-03-14 18:58:45.384
453,2008,2026-03-14 18:58:59.385
454,2008,2026-03-14 18:59:13.399
455,2008,2026-03-14 18:59:27.379
456,2008,2026-03-14 18:59:41.402
457,2008,2026-03-14 18:59:55.434
458,2008,2026-03-14 19:00:09.388
459,2008,2026-03-14 19:00:23.377
460,2008,2026-03-14 19:00:37.388
461,2008,2026-03-14 19:00:51.387
462,2008,2026-03-14 19:01:05.387
463,2008,2026-03-14 19:01:19.384
464,2008,2026-03-14 19:01:33.401
465,2008,2026-03-14 19:01:47.400
466,2008,2026-03-14 19:02:01.387
467,2008,2026-03-14 19:02:15.414
468,2008,2026-03-14 19:02:29.455
469,2008,2026-03-14 19:02:43.582
470,2008,2026-03-14 19:02:57.580
471,2008,2026-03-14 19:03:11.562
472,2008,2026-03-14 19:03:25.562
473,2008,2026-03-14 19:03:39.540
474,2008,2026-03-14 19:03:53.539
475,2008,2026-03-14 19:04:07.423
476,2008,2026-03-14 19:04:21.498
477,2008,2026-03-14 19:04:35.488
478,2008,2026-03-14 19:04:49.445
479,2008,2026-03-14 19:05:03.472
480,2008,2026-03-14 19:05:17.450
481,2008,2026-03-14 19:05:31.529
482,2008,2026-03-14 19:05:45.515
483,2008,2026-03-14 19:05:59.526
484,2008,2026-03-14 19:06:13.520
485,2008,2026-03-14 19:06:27.518
486,2008,2026-03-14 19:06:41.536
487,2008,2026-03-14 19:06:55.467
488,2008,2026-03-14 19:07:09.489
489,2008,2026-03-14 19:07:23.567
490,2008,2026-03-14 19:07:37.567
491,2008,2026-03-14 19:07:51.579
492,2008,2026-03-14 19:08:05.545
493,2008,2026-03-14 19:08:19.531
494,2008,2026-03-14 19:08:33.575
495,2008,2026-03-14 19:08:47.556
496,2008,2026-03-14 19:09:01.556
497,2008,2026-03-14 19:09:15.515
498,2008,2026-03-14 19:09:29.543
499,2008,2026-03-14 19:09:43.551
500,2008,2026-03-14 19:09:57.557
501,2008,2026-03-14 19:10:11.531
502,2008,2026-03-14 19:10:25.526
503,2008,2026-03-14 19:10:39.525
504,2008,2026-03-14 19:10:53.557
505,2008,2026-03-14 19:11:07.517
506,2008,2026-03-14 19:11:21.516
507,2008,2026-03-14 19:11:35.555
508,2008,2026-03-14 19:11:49.520
509,2008,2026-03-14 19:12:03.520
510,2008,2026-03-14 19:12:17.529
511,2008,2026-03-14 19:12:31.501
512,2008,2026-03-14 19:12:45.565
513,2008,2026-03-14 19:12:59.561
514,2008,2026-03-14 19:13:13.568
515,2008,2026-03-14 19:13:27.588
516,2008,2026-03-14 19:13:41.608
517,2008,2026-03-14 19:13:55.563
518,2008,2026-03-14 19:14:09.538
519,2008,2026-03-14 19:14:23.569
520,2008,2026-03-14 19:14:37.557
521,2008,2026-03-14 19:14:51.641
522,2008,2026-03-14 19:15:05.616
523,2008,2026-03-14 19:15:19.566
524,2008,2026-03-14 19:15:33.578
525,2008,2026-03-14 19:15:47.585
526,2008,2026-03-14 19:16:01.673
527,2008,2026-03-14 19:16:15.588
528,2008,2026-03-14 19:16:29.566
529,2008,2026-03-14 19:16:43.527
530,2008,2026-03-14 19:16:57.544
531,2008,2026-03-14 19:17:11.536
532,2008,2026-03-14 19:17:25.557
533,2008,2026-03-14 19:17:39.539
534,2008,2026-03-14 19:17:53.556
535,2008,2026-03-14 19:18:07.563
536,2008,2026-03-14 19:18:21.597
537,2008,2026-03-14 19:18:35.558
538,2008,2026-03-14 19:18:49.734
539,2008,2026-03-14 19:19:03.703
540,2008,2026-03-14 19:19:17.647
541,2008,2026-03-14 19:19:31.678
542,2008,2026-03-14 19:19:45.660
543,2008,2026-03-14 19:19:59.644
544,2008,2026-03-14 19:20:13.677
545,2008,2026-03-14 19:20:27.667
546,2008,2026-03-14 19:20:41.680
547,2008,2026-03-14 19:20:55.645
548,2008,2026-03-14 19:21:09.728
549,2008,2026-03-14 19:21:23.715
550,2008,2026-03-14 19:21:37.647
551,2008,2026-03-14 19:21:51.601
552,2008,2026-03-14 19:22:05.469
553,2008,2026-03-14 19:22:19.574
554,2008,2026-03-14 19:22:33.566
555,2008,2026-03-14 19:22:47.574
556,2008,2026-03-14 19:23:01.574
557,2008,2026-03-14 19:23:15.574
558,2008,2026-03-14 19:23:29.549
559,2008,2026-03-14 19:23:43.598
560,2008,2026-03-14 19:23:57.582
561,2008,2026-03-14 19:24:11.574
562,2008,2026-03-14 19:24:25.559
563,2008,2026-03-14 19:24:39.560
564,2008,2026-03-14 19:24:53.559
565,2008,2026-03-14 19:25:07.560
566,2008,2026-03-14 19:25:21.578
567,2008,2026-03-14 19:25:35.598
568,2008,2026-03-14 19:25:49.646
569,2008,2026-03-14 19:26:03.560
570,2008,2026-03-14 19:26:17.560
571,2008,2026-03-14 19:26:31.567
572,2008,2026-03-14 19:26:45.594
573,2008,2026-03-14 19:26:59.603
574,2008,2026-03-14 19:27:13.643
575,2008,2026-03-14 19:27:27.595
576,2008,2026-03-14 19:27:41.615
577,2008,2026-03-14 19:27:55.666
578,2008,2026-03-14 19:28:09.607
579,2008,2026-03-14 19:28:23.643
580,2008,2026-03-14 19:28:37.581
581,2008,2026-03-14 19:28:51.572
582,2008,2026-03-14 19:29:05.570
583,2008,2026-03-14 19:29:19.640
584,2008,2026-03-14 19:29:33.563
585,2008,2026-03-14 19:29:47.586
586,2008,2026-03-14 19:30:01.599
587,2008,2026-03-14 19:30:15.607
588,2008,2026-03-14 19:30:29.614
589,2008,2026-03-14 19:30:43.593
590,2008,2026-03-14 19:30:57.700
591,2008,2026-03-14 19:31:11.598
592,2008,2026-03-14 19:31:25.653
593,2008,2026-03-14 19:31:39.684
594,2008,2026-03-14 19:31:53.695
595,2008,2026-03-14 19:32:07.667
596,2008,2026-03-14 19:32:21.662
597,2008,2026-03-14 19:32:35.667
598,2008,2026-03-14 19:32:49.683
599,2008,2026-03-14 19:33:03.680
600,2008,2026-03-14 19:33:17.700
601,2008,2026-03-14 19:33:31.710
602,2008,2026-03-14 19:33:45.664
603,2008,2026-03-14 19:33:59.669
604,2008,2026-03-14 19:34:13.683
605,2008,2026-03-14 19:34:27.712
606,2008,2026-03-14 19:34:41.690
607,2008,2026-03-14 19:34:55.678
608,2008,2026-03-14 19:35:09.680
609,2008,2026-03-14 19:35:23.715
610,2008,2026-03-14 19:35:37.705
611,2008,2026-03-14 19:35:51.681
612,2008,2026-03-14 19:36:05.681
613,2008,2026-03-14 19:36:19.694
614,2008,2026-03-14 19:36:33.648
615,2008,2026-03-14 19:36:47.669
616,2008,2026-03-14 19:37:01.716
617,2008,2026-03-14 19:37:15.631
618,2008,2026-03-14 19:37:29.632
619,2008,2026-03-14 19:37:43.871
620,2008,2026-03-14 19:37:57.870
621,2008,2026-03-14 19:38:11.632
622,2008,2026-03-14 19:38:25.887
623,2008,2026-03-14 19:38:44.046
624,2051,2026-03-14 19:52:51.490
625,2055,2026-03-14 19:54:51.586
626,2058,2026-03-14 19:56:51.518
627,2061,2026-03-14 19:58:51.655
628,2063,2026-03-14 20:00:51.562
629,2066,2026-03-14 20:02:51.551
630,2068,2026-03-14 20:04:51.546
631,2069,2026-03-14 20:06:51.796
632,2071,2026-03-14 20:08:51.750
633,2072,2026-03-14 20:10:51.679
634,2074,2026-03-14 20:12:51.660
635,2075,2026-03-14 20:14:51.683
636,2075,2026-03-14 20:16:51.666
637,2078,2026-03-14 20:18:51.733
638,2081,2026-03-14 20:20:51.862
639,2081,2026-03-14 20:22:51.819
640,2082,2026-03-14 20:24:51.775
641,2083,2026-03-14 20:26:51.844
642,2083,2026-03-14 20:28:51.753
643,2083,2026-03-14 20:30:51.805
644,2083,2026-03-14 20:32:51.804
645,2085,2026-03-14 20:34:51.848
646,2088,2026-03-14 20:36:51.796
647,2090,2026-03-14 20:38:51.805
648,2092,2026-03-14 20:40:51.803
649,2094,2026-03-14 20:42:51.800
650,2097,2026-03-14 20:44:51.754
651,2099,2026-03-14 20:46:51.879
652,2101,2026-03-14 20:48:51.832
653,2103,2026-03-14 20:50:51.844
654,2104,2026-03-14 20:52:51.947
655,2106,2026-03-14 20:54:51.852
656,2107,2026-03-14 20:56:51.915
657,2109,2026-03-14 20:58:51.903
658,2110,2026-03-14 21:00:51.973
659,2110,2026-03-14 21:02:51.925
660,2111,2026-03-14 21:04:51.971
661,2112,2026-03-14 21:06:52.017
662,2113,2026-03-14 21:08:51.961
663,2114,2026-03-14 21:10:51.974
664,2114,2026-03-14 21:12:52.024
665,2115,2026-03-14 21:14:52.004
666,2115,2026-03-14 21:16:52.086
667,2116,2026-03-14 21:18:52.013
668,2118,2026-03-14 21:20:52.065
669,2117,2026-03-14 21:22:52.146
670,2117,2026-03-14 21:24:52.100
671,2117,2026-03-14 21:26:52.218
672,2116,2026-03-14 21:28:52.207
673,2116,2026-03-14 21:30:52.117
674,2116,2026-03-14 21:32:52.159
675,2116,2026-03-14 21:34:52.126
676,2128,2026-03-14 21:36:52.407
677,2142,2026-03-14 21:38:52.284
678,2149,2026-03-14 21:40:52.354
679,2152,2026-03-14 21:42:52.336
680,2155,2026-03-14 21:44:52.415
681,2158,2026-03-14 21:46:52.373
682,2160,2026-03-14 21:48:52.355
683,2162,2026-03-14 21:50:52.368
684,2164,2026-03-14 21:52:52.404
685,2166,2026-03-14 21:54:52.465
686,2168,2026-03-14 21:56:52.484
687,2169,2026-03-14 21:58:52.438
688,2170,2026-03-14 22:00:52.408
689,2171,2026-03-14 22:02:52.443
690,2172,2026-03-14 22:04:52.371
691,2173,2026-03-14 22:06:52.483
692,2174,2026-03-14 22:08:52.536
693,2175,2026-03-14 22:10:52.524
694,2176,2026-03-14 22:12:52.512
695,2176,2026-03-14 22:14:52.486
696,2177,2026-03-14 22:16:52.417
697,2177,2026-03-14 22:18:52.608
698,2178,2026-03-14 22:20:52.542
699,2178,2026-03-14 22:22:52.868
700,2178,2026-03-14 22:24:52.611
701,2179,2026-03-14 22:26:52.495
702,2179,2026-03-14 22:28:52.567
703,2180,2026-03-14 22:30:52.720
704,2179,2026-03-14 22:32:52.636
705,2179,2026-03-14 22:34:52.614
706,2179,2026-03-14 22:36:52.759
