,value,date,raw data
110,4095,260801031328,0x2525210020014A086948706017347226080103132801013E01071CFF0FFFFFA0
111,4095,260801031513,0x2525210020014B086948706017347226080103151301013E01071CFF0FFFFFA0
112,4095,260801031658,0x2525210020014C086948706017347226080103165801013E01071CFF0FFFFFA0
113,4095,260801031843,0x2525210020014D086948706017347226080103184301013E01071CFF0FFFFFA0
114,4095,260801032028,0x2525210020014E086948706017347226080103202801013E01071CFF0FFFFFA0
115,4095,260801032213,0x2525210020014F086948706017347226080103221301013E01071CFF0FFFFFA0
116,4095,260801032358,0x25252100200150086948706017347226080103235801013E01071CFF0FFFFFA0
117,4095,260801032543,0x25252100200151086948706017347226080103254301013E01071CFF0FFFFFA0
118,4095,260801032728,0x25252100200152086948706017347226080103272801013E01071CFF0FFFFFA0
119,4095,260801032913,0x25252100200153086948706017347226080103291301013E01071CFF0FFFFFA0
120,4095,260801033058,0x25252100200154086948706017347226080103305801013E01071CFF0FFFFFA0
121,4095,260801033243,0x25252100200155086948706017347226080103324301013E01071BFF0FFFFFF1
122,4095,260801033428,0x25252100200156086948706017347226080103342801013E01071BFF0FFFFFF1
123,4095,260801033613,0x25252100200157086948706017347226080103361301013E01071BFF0FFFFFF1
124,4095,260801033758,0x25252100200158086948706017347226080103375801013E01071BFF0FFFFFF1
125,4095,260801033943,0x25252100200159086948706017347226080103394301013E01071BFF0FFFFFF1
126,4095,260801034128,0x2525210020015A086948706017347226080103412801013E01071BFF0FFFFFF1
127,4095,260801034313,0x2525210020015B086948706017347226080103431301013E01071BFF0FFFFFF1
128,4095,260801034458,0x2525210020015C086948706017347226080103445801013E01071BFF0FFFFFF1
129,4095,260801034643,0x2525210020015D086948706017347226080103464301013E01071BFF0FFFFFF1
130,4095,260801034828,0x2525210020015E086948706017347226080103482801013E01071BFF0FFFFFF1
131,4095,260801035013,0x2525210020015F086948706017347226080103501301013E01071BFF0FFFFFF1
132,4095,260801035158,0x25252100200160086948706017347226080103515801013E01071BFF0FFFFFF1
133,4095,260801035343,0x25252100200161086948706017347226080103534301013E01071BFF0FFFFFF1
134,4095,260801035528,0x25252100200162086948706017347226080103552801013E01071BFF0FFFFFF1
135,4095,260801035713,0x25252100200163086948706017347226080103571301013E01071BFF0FFFFFF1
136,4095,260801035858,0x25252100200164086948706017347226080103585801013E01071BFF0FFFFFF1
137,4095,260801040043,0x25252100200165086948706017347226080104004301013E01071BFF0FFFFFF1
138,4095,260801040228,0x25252100200166086948706017347226080104022801013E01071BFF0FFFFFF1
139,4095,260801040413,0x25252100200167086948706017347226080104041301013E01071BFF0FFFFFF1
