,GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23,MilesDriven_in_Miles,MilesDriven_dec,ACTION
15,0.0,1BQ8,NOY423 VF,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
17,0.0,1A6X,NOY424 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
19,0.0,1BO4,NUW693 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
20,0.0,1BWK,NUW693 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
22,0.0,1A3E,QJX175 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
23,0.0,1BS0,QJX175 AIR2.,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
24,0.0,1CVU,QJY339,95.0,"250,49",5H:58M:30S,"5,98",4H:5M:0S,"4,08",10H:3M:30S,"10,06","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",155.64722179,250.49,Keep
25,0.0,1BR4,QJY339 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
26,0.0,1BRK,QJY339 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
28,0.0,1BPH,SMR198 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
30,0.0,1BNO,SMR391 VF,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
32,0.0,1BXS,SXY625 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
34,0.0,1BOK,SXZ756 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
36,0.0,1BX0,TDL795 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
38,0.0,1BXK,TDL796 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
40,0.0,1BXC,TDL797 VF,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
42,0.0,1A8E,WFL149 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
